"group"	"x"	"y"
1	5.39486726233462	4.7643433419835
1	5.87649018823001	7.30293272523763
1	6.37580901890423	4.05357501880678
1	6.60343477829725	3.10675373334382
1	8.50226708123328	10.7337342574211
1	7.20950612016335	7.08282924309997
1	5.97855059733392	3.51195680329177
1	5.70389992431513	3.15531669100432
1	6.37995174747318	4.16553316127613
1	6.37226829790951	7.54837422390487
1	6.28380625343245	8.39679422359621
1	6.8066694057434	9.19645900155704
1	5.90535835916454	3.62489223830641
1	6.9511916925586	10.1347684849799
1	5.6330949649754	3.37399309162456
1	6.43130871126287	10.2310285801865
1	6.90527502521354	8.35575938812848
1	6.71301494334731	5.41233153544847
1	7.24148605332918	5.68244288462179
1	6.56299150646344	3.30599627274583
2	1.95254738396715	1.66144739383457
2	11.8956437832205	-1.05176933575789
2	14.0196846564402	0.86980512931081
2	4.90996489808639	1.76268612961888
2	2.28326829291053	3.03753112184044
2	8.54567505888408	1.75422038965538
2	5.81086619715294	1.33503733385496
2	15.6541802019871	-0.82821664412687
2	6.18266557439445	1.95647659045289
2	9.01140013834284	3.36148399042829
2	6.44359233791236	-0.254152301883571
2	3.45073218983395	3.69621021919714
2	7.06752306950544	2.4848502162032
2	-0.669036334561335	5.34246953979748
2	12.0218778314001	0.392012255454201
2	6.92961753609204	2.57307793972546
2	14.7655440162733	0.665692894144324
2	8.1801018002314	0.879437944127856
2	3.58005355779664	4.61913187657439
2	8.70479772937727	3.40245637091343
3	0.242970766147354	8.94948267429023
3	1.83135381529745	6.46153753626984
3	1.52060481943859	6.17302337905212
3	2.92137595133847	8.09315180930512
3	0.906247481512619	7.18865010527438
3	3.16646533974232	5.31781967834247
3	1.44825341952385	6.91864786690984
3	6.5691252966948	3.91619047262754
3	4.34775079336429	4.48782670303372
3	4.75682216151386	4.19910092520528
3	3.64465697810686	4.06331478529057
3	6.38916388294739	2.32227423814755
3	1.48810654529091	7.15486347673835
3	1.85621082301075	5.74669517054510
3	5.86078154338636	4.21566956767831
3	1.45647492699408	4.52149638684357
3	2.39383351561629	6.79678061336333
3	2.00176122805232	4.02548155868457
3	2.15572337424078	5.97619620674905
3	2.24216024009627	5.51931286424397
